Category: All categories

Week,ChatGPT: (Worldwide),GitHub Copilot: (Worldwide),Gemini: (Worldwide),Midjourney: (Worldwide),claude: (Worldwide)
2021-12-26,0,<1,0,0,1
2022-01-02,0,<1,0,0,1
2022-01-09,0,<1,0,0,1
2022-01-16,0,<1,0,0,1
2022-01-23,0,<1,0,0,1
2022-01-30,0,<1,0,0,1
2022-02-06,0,<1,0,0,1
2022-02-13,0,<1,0,0,1
2022-02-20,0,<1,0,0,1
2022-02-27,0,<1,0,0,1
2022-03-06,0,<1,0,0,1
2022-03-13,0,<1,0,0,1
2022-03-20,0,<1,0,0,1
2022-03-27,0,<1,0,0,1
2022-04-03,0,<1,0,0,1
2022-04-10,0,<1,0,0,1
2022-04-17,0,<1,0,0,1
2022-04-24,0,<1,0,0,1
2022-05-01,0,<1,0,0,1
2022-05-08,0,<1,0,0,1
2022-05-15,0,<1,0,0,1
2022-05-22,0,<1,0,0,1
2022-05-29,0,<1,0,0,1
2022-06-05,0,<1,0,0,1
2022-06-12,0,<1,0,0,1
2022-06-19,0,<1,0,0,1
2022-06-26,0,<1,0,0,1
2022-07-03,0,<1,0,<1,1
2022-07-10,0,<1,0,<1,1
2022-07-17,0,<1,0,<1,1
2022-07-24,0,<1,0,<1,1
2022-07-31,0,<1,0,<1,1
2022-08-07,0,<1,0,<1,1
2022-08-14,0,<1,0,<1,1
2022-08-21,0,<1,0,<1,1
2022-08-28,0,<1,0,<1,1
2022-09-04,0,<1,0,<1,1
2022-09-11,0,<1,0,<1,1
2022-09-18,0,<1,0,<1,<1
2022-09-25,0,<1,0,<1,<1
2022-10-02,0,<1,0,<1,1
2022-10-09,0,<1,0,<1,1
2022-10-16,0,<1,0,<1,1
2022-10-23,0,<1,0,<1,1
2022-10-30,0,<1,0,<1,1
2022-11-06,0,<1,0,<1,1
2022-11-13,0,<1,0,<1,<1
2022-11-20,0,<1,0,<1,1
2022-11-27,0,<1,0,<1,<1
2022-12-04,0,<1,0,<1,1
2022-12-11,0,<1,0,<1,<1
2022-12-18,0,<1,0,<1,<1
2022-12-25,0,<1,0,<1,1
2023-01-01,0,<1,0,<1,1
2023-01-08,0,<1,0,1,1
2023-01-15,0,<1,0,1,1
2023-01-22,0,<1,0,1,1
2023-01-29,0,<1,0,1,1
2023-02-05,0,<1,<1,1,1
2023-02-12,0,<1,<1,1,1
2023-02-19,0,<1,<1,1,1
2023-02-26,0,<1,<1,1,1
2023-03-05,0,<1,<1,1,1
2023-03-12,0,<1,<1,1,1
2023-03-19,0,<1,1,1,1
2023-03-26,0,<1,<1,1,1
2023-04-02,0,<1,<1,1,1
2023-04-09,0,<1,<1,1,1
2023-04-16,0,<1,<1,1,1
2023-04-23,0,<1,<1,1,1
2023-04-30,0,<1,<1,1,<1
2023-05-07,0,<1,1,1,1
2023-05-14,0,<1,2,1,1
2023-05-21,0,<1,1,1,<1
2023-05-28,0,<1,1,1,1
2023-06-04,0,<1,1,1,1
2023-06-11,<1,<1,1,1,1
2023-06-18,16,<1,1,1,1
2023-06-25,17,<1,1,1,1
2023-07-02,17,<1,1,1,1
2023-07-09,18,<1,2,1,1
2023-07-16,15,<1,2,1,1
2023-07-23,15,<1,1,1,1
2023-07-30,15,<1,1,1,1
2023-08-06,15,<1,1,<1,1
2023-08-13,16,<1,1,<1,1
2023-08-20,17,<1,1,<1,1
2023-08-27,19,<1,1,<1,1
2023-09-03,18,<1,1,<1,1
2023-09-10,20,<1,1,<1,1
2023-09-17,21,<1,2,<1,1
2023-09-24,21,<1,2,<1,1
2023-10-01,22,<1,2,<1,1
2023-10-08,21,<1,2,<1,1
2023-10-15,23,<1,2,<1,1
2023-10-22,23,<1,2,<1,1
2023-10-29,22,<1,2,<1,1
2023-11-05,26,<1,2,<1,1
2023-11-12,24,<1,2,<1,1
2023-11-19,24,<1,2,<1,1
2023-11-26,25,<1,3,<1,1
2023-12-03,25,<1,3,<1,1
2023-12-10,25,<1,3,<1,1
2023-12-17,20,<1,2,<1,1
2023-12-24,14,<1,2,<1,1
2023-12-31,16,<1,2,<1,1
2024-01-07,21,<1,2,<1,1
2024-01-14,21,<1,2,<1,1
2024-01-21,22,<1,2,<1,1
2024-01-28,22,<1,2,<1,1
2024-02-04,24,<1,2,<1,1
2024-02-11,24,<1,3,<1,1
2024-02-18,26,<1,4,<1,1
2024-02-25,27,<1,4,<1,1
2024-03-03,28,<1,4,<1,1
2024-03-10,26,<1,4,<1,1
2024-03-17,26,<1,4,<1,1
2024-03-24,24,<1,3,<1,1
2024-03-31,25,<1,3,<1,1
2024-04-07,27,<1,3,<1,1
2024-04-14,29,<1,4,<1,1
2024-04-21,29,<1,4,<1,1
2024-04-28,29,<1,4,<1,1
2024-05-05,30,<1,4,<1,1
2024-05-12,33,<1,4,<1,1
2024-05-19,33,<1,4,<1,1
2024-05-26,34,<1,4,<1,1
2024-06-02,34,<1,4,<1,1
2024-06-09,30,<1,3,<1,1
2024-06-16,28,<1,3,<1,1
2024-06-23,26,<1,3,<1,1
2024-06-30,24,<1,3,<1,1
2024-07-07,25,<1,3,<1,1
2024-07-14,25,<1,3,<1,1
2024-07-21,26,<1,3,<1,1
2024-07-28,25,<1,3,<1,1
2024-08-04,26,<1,3,<1,1
2024-08-11,28,<1,3,<1,1
2024-08-18,33,<1,3,<1,1
2024-08-25,34,<1,3,<1,1
2024-09-01,36,<1,4,<1,1
2024-09-08,41,<1,4,<1,1
2024-09-15,41,<1,4,<1,1
2024-09-22,44,<1,4,<1,1
2024-09-29,42,<1,4,<1,1
2024-10-06,45,<1,4,<1,1
2024-10-13,48,<1,4,<1,1
2024-10-20,48,<1,4,<1,1
2024-10-27,47,<1,4,<1,1
2024-11-03,50,<1,4,<1,1
2024-11-10,53,<1,4,<1,1
2024-11-17,55,<1,4,<1,1
2024-11-24,51,<1,4,<1,1
2024-12-01,52,<1,4,<1,1
2024-12-08,56,<1,5,<1,1
2024-12-15,46,<1,4,<1,1
2024-12-22,37,<1,3,<1,1
2024-12-29,34,<1,3,<1,1
2025-01-05,46,<1,4,<1,1
2025-01-12,48,<1,4,<1,1
2025-01-19,53,<1,4,<1,1
2025-01-26,52,<1,4,<1,1
2025-02-02,55,<1,5,<1,1
2025-02-09,58,<1,5,<1,1
2025-02-16,58,<1,5,<1,1
2025-02-23,59,<1,5,<1,2
2025-03-02,59,<1,5,<1,2
2025-03-09,60,<1,5,<1,2
2025-03-16,62,<1,5,<1,2
2025-03-23,64,<1,5,<1,2
2025-03-30,88,<1,6,<1,2
2025-04-06,77,<1,6,<1,2
2025-04-13,70,<1,6,<1,2
2025-04-20,72,<1,6,<1,1
2025-04-27,70,<1,6,<1,1
2025-05-04,77,<1,6,<1,1
2025-05-11,76,<1,7,<1,2
2025-05-18,81,<1,7,<1,2
2025-05-25,76,<1,8,<1,3
2025-06-01,78,<1,8,<1,3
2025-06-08,80,<1,9,<1,2
2025-06-15,78,<1,8,<1,2
2025-06-22,79,<1,8,1,2
2025-06-29,74,<1,8,<1,2
2025-07-06,76,<1,8,1,2
2025-07-13,80,<1,8,<1,2
2025-07-20,76,<1,8,1,2
2025-07-27,81,<1,8,<1,2
2025-08-03,87,<1,9,<1,3
2025-08-10,84,<1,9,<1,3
2025-08-17,83,<1,9,<1,3
2025-08-24,86,<1,10,<1,2
2025-08-31,91,<1,22,<1,2
2025-09-07,91,<1,46,<1,2
2025-09-14,93,<1,73,<1,2
2025-09-21,94,<1,45,<1,2
2025-09-28,94,<1,34,<1,3
2025-10-05,96,<1,28,<1,2
2025-10-12,96,<1,26,<1,3
2025-10-19,95,<1,24,<1,3
2025-10-26,94,<1,24,<1,3
2025-11-02,95,<1,24,<1,3
2025-11-09,96,<1,24,<1,3
2025-11-16,100,<1,26,<1,3
2025-11-23,86,<1,26,<1,2
2025-11-30,84,<1,27,<1,3
2025-12-07,86,<1,25,<1,2
2025-12-14,81,<1,25,<1,3
2025-12-21,65,<1,23,<1,2
2025-12-28,61,<1,22,<1,2
