Category: All categories

Week,Perplexity: (Worldwide),Stable Diffusion: (Worldwide),cursor: (Worldwide),notion ai: (Worldwide),Grammarly: (Worldwide)
2021-12-26,0,0,12,0,20
2022-01-02,0,0,17,<1,37
2022-01-09,0,0,17,0,41
2022-01-16,0,0,17,0,39
2022-01-23,0,0,18,0,43
2022-01-30,0,0,18,0,43
2022-02-06,0,0,18,<1,47
2022-02-13,0,0,19,<1,49
2022-02-20,0,0,18,<1,45
2022-02-27,0,0,18,<1,47
2022-03-06,0,0,17,<1,48
2022-03-13,0,0,18,<1,46
2022-03-20,0,0,18,0,47
2022-03-27,0,0,19,<1,56
2022-04-03,0,0,19,<1,57
2022-04-10,0,0,16,<1,50
2022-04-17,0,0,17,<1,52
2022-04-24,0,0,18,<1,56
2022-05-01,0,0,17,<1,50
2022-05-08,0,0,18,<1,53
2022-05-15,0,0,17,<1,54
2022-05-22,0,0,17,<1,50
2022-05-29,0,0,16,<1,45
2022-06-05,0,0,16,<1,46
2022-06-12,0,0,15,<1,43
2022-06-19,0,0,16,<1,41
2022-06-26,0,0,16,<1,41
2022-07-03,0,0,15,<1,35
2022-07-10,0,0,15,<1,41
2022-07-17,0,0,15,<1,40
2022-07-24,0,0,14,<1,41
2022-07-31,0,0,15,<1,41
2022-08-07,0,0,14,<1,41
2022-08-14,0,0,15,<1,44
2022-08-21,0,0,16,<1,52
2022-08-28,0,<1,16,<1,56
2022-09-04,0,13,16,<1,58
2022-09-11,0,11,17,<1,62
2022-09-18,0,10,18,<1,64
2022-09-25,0,11,16,<1,62
2022-10-02,0,16,16,<1,62
2022-10-09,0,14,16,<1,62
2022-10-16,0,12,17,<1,64
2022-10-23,0,11,17,<1,59
2022-10-30,0,10,16,<1,61
2022-11-06,0,11,17,<1,59
2022-11-13,0,9,18,1,62
2022-11-20,0,10,15,1,52
2022-11-27,0,11,16,<1,59
2022-12-04,0,13,17,<1,58
2022-12-11,0,14,17,1,55
2022-12-18,0,12,14,1,40
2022-12-25,0,12,13,<1,30
2023-01-01,0,13,15,1,41
2023-01-08,0,13,16,1,52
2023-01-15,0,13,16,1,51
2023-01-22,0,14,17,1,56
2023-01-29,0,15,18,1,57
2023-02-05,0,15,18,2,58
2023-02-12,0,17,17,1,54
2023-02-19,0,20,17,4,56
2023-02-26,0,22,17,5,54
2023-03-05,0,22,17,4,54
2023-03-12,0,23,16,3,52
2023-03-19,0,24,17,3,54
2023-03-26,0,26,17,3,53
2023-04-02,0,27,15,3,48
2023-04-09,0,27,15,3,48
2023-04-16,0,26,16,2,47
2023-04-23,0,24,15,2,52
2023-04-30,0,25,15,2,52
2023-05-07,0,25,16,2,53
2023-05-14,0,23,15,2,48
2023-05-21,0,22,15,2,46
2023-05-28,0,21,14,2,43
2023-06-04,0,20,15,2,42
2023-06-11,0,21,15,2,37
2023-06-18,0,19,14,1,37
2023-06-25,0,20,14,1,37
2023-07-02,0,20,14,1,35
2023-07-09,0,19,15,1,38
2023-07-16,0,19,14,1,37
2023-07-23,0,19,14,1,36
2023-07-30,0,19,14,1,35
2023-08-06,0,18,15,1,37
2023-08-13,0,17,15,1,37
2023-08-20,0,17,16,1,41
2023-08-27,0,16,16,1,45
2023-09-03,0,15,16,1,50
2023-09-10,0,14,17,1,54
2023-09-17,0,15,17,1,52
2023-09-24,0,16,17,1,51
2023-10-01,0,15,17,1,51
2023-10-08,0,15,16,1,48
2023-10-15,0,15,16,1,48
2023-10-22,0,14,16,1,48
2023-10-29,0,14,15,1,49
2023-11-05,0,13,16,1,45
2023-11-12,0,13,16,1,46
2023-11-19,0,14,16,1,37
2023-11-26,0,15,16,1,50
2023-12-03,0,16,16,1,51
2023-12-10,0,14,15,1,47
2023-12-17,0,14,14,1,35
2023-12-24,0,14,12,1,22
2023-12-31,0,14,13,1,31
2024-01-07,0,14,17,1,42
2024-01-14,0,13,16,1,44
2024-01-21,3,14,17,1,48
2024-01-28,22,14,18,1,53
2024-02-04,18,13,19,1,54
2024-02-11,4,14,18,1,48
2024-02-18,<1,17,19,1,52
2024-02-25,0,16,18,1,54
2024-03-03,0,15,18,1,56
2024-03-10,<1,14,18,1,52
