week,ChatGPT,Github Copilot,Gemini,Midjourney,Claude,Perplexity,Stable Diffusion,Cursor,Notion AI,Grammarly,year,month
2022-01-02,0,0,0,0,1,0,0,17,0,37,2022,2022-01
2022-01-09,0,0,0,0,1,0,0,17,0,41,2022,2022-01
2022-01-16,0,0,0,0,1,0,0,17,0,39,2022,2022-01
2022-01-23,0,0,0,0,1,0,0,18,0,43,2022,2022-01
2022-01-30,0,0,0,0,1,0,0,18,0,43,2022,2022-01
2022-02-06,0,0,0,0,1,0,0,18,0,47,2022,2022-02
2022-02-13,0,0,0,0,1,0,0,19,0,49,2022,2022-02
2022-02-20,0,0,0,0,1,0,0,18,0,45,2022,2022-02
2022-02-27,0,0,0,0,1,0,0,18,0,47,2022,2022-02
2022-03-06,0,0,0,0,1,0,0,17,0,48,2022,2022-03
2022-03-13,0,0,0,0,1,0,0,18,0,46,2022,2022-03
2022-03-20,0,0,0,0,1,0,0,18,0,47,2022,2022-03
2022-03-27,0,0,0,0,1,0,0,19,0,56,2022,2022-03
2022-04-03,0,0,0,0,1,0,0,19,0,57,2022,2022-04
2022-04-10,0,0,0,0,1,0,0,16,0,50,2022,2022-04
2022-04-17,0,0,0,0,1,0,0,17,0,52,2022,2022-04
2022-04-24,0,0,0,0,1,0,0,18,0,56,2022,2022-04
2022-05-01,0,0,0,0,1,0,0,17,0,50,2022,2022-05
2022-05-08,0,0,0,0,1,0,0,18,0,53,2022,2022-05
2022-05-15,0,0,0,0,1,0,0,17,0,54,2022,2022-05
2022-05-22,0,0,0,0,1,0,0,17,0,50,2022,2022-05
2022-05-29,0,0,0,0,1,0,0,16,0,45,2022,2022-05
2022-06-05,0,0,0,0,1,0,0,16,0,46,2022,2022-06
2022-06-12,0,0,0,0,1,0,0,15,0,43,2022,2022-06
2022-06-19,0,0,0,0,1,0,0,16,0,41,2022,2022-06
2022-06-26,0,0,0,0,1,0,0,16,0,41,2022,2022-06
2022-07-03,0,0,0,0,1,0,0,15,0,35,2022,2022-07
2022-07-10,0,0,0,0,1,0,0,15,0,41,2022,2022-07
2022-07-17,0,0,0,0,1,0,0,15,0,40,2022,2022-07
2022-07-24,0,0,0,0,1,0,0,14,0,41,2022,2022-07
2022-07-31,0,0,0,0,1,0,0,15,0,41,2022,2022-07
2022-08-07,0,0,0,0,1,0,0,14,0,41,2022,2022-08
2022-08-14,0,0,0,0,1,0,0,15,0,44,2022,2022-08
2022-08-21,0,0,0,0,1,0,0,16,0,52,2022,2022-08
2022-08-28,0,0,0,0,1,0,0,16,0,56,2022,2022-08
2022-09-04,0,0,0,0,1,0,13,16,0,58,2022,2022-09
2022-09-11,0,0,0,0,1,0,11,17,0,62,2022,2022-09
2022-09-18,0,0,0,0,0,0,10,18,0,64,2022,2022-09
2022-09-25,0,0,0,0,0,0,11,16,0,62,2022,2022-09
2022-10-02,0,0,0,0,1,0,16,16,0,62,2022,2022-10
2022-10-09,0,0,0,0,1,0,14,16,0,62,2022,2022-10
2022-10-16,0,0,0,0,1,0,12,17,0,64,2022,2022-10
2022-10-23,0,0,0,0,1,0,11,17,0,59,2022,2022-10
2022-10-30,0,0,0,0,1,0,10,16,0,61,2022,2022-10
2022-11-06,0,0,0,0,1,0,11,17,0,59,2022,2022-11
2022-11-13,0,0,0,0,0,0,9,18,1,62,2022,2022-11
2022-11-20,0,0,0,0,1,0,10,15,1,52,2022,2022-11
2022-11-27,0,0,0,0,0,0,11,16,0,59,2022,2022-11
2022-12-04,0,0,0,0,1,0,13,17,0,58,2022,2022-12
2022-12-11,0,0,0,0,0,0,14,17,1,55,2022,2022-12
2022-12-18,0,0,0,0,0,0,12,14,1,40,2022,2022-12
2022-12-25,0,0,0,0,1,0,12,13,0,30,2022,2022-12
2023-01-01,0,0,0,0,1,0,13,15,1,41,2023,2023-01
2023-01-08,0,0,0,1,1,0,13,16,1,52,2023,2023-01
2023-01-15,0,0,0,1,1,0,13,16,1,51,2023,2023-01
2023-01-22,0,0,0,1,1,0,14,17,1,56,2023,2023-01
2023-01-29,0,0,0,1,1,0,15,18,1,57,2023,2023-01
2023-02-05,0,0,0,1,1,0,15,18,2,58,2023,2023-02
2023-02-12,0,0,0,1,1,0,17,17,1,54,2023,2023-02
2023-02-19,0,0,0,1,1,0,20,17,4,56,2023,2023-02
2023-02-26,0,0,0,1,1,0,22,17,5,54,2023,2023-02
2023-03-05,0,0,0,1,1,0,22,17,4,54,2023,2023-03
2023-03-12,0,0,0,1,1,0,23,16,3,52,2023,2023-03
2023-03-19,0,0,1,1,1,0,24,17,3,54,2023,2023-03
2023-03-26,0,0,0,1,1,0,26,17,3,53,2023,2023-03
2023-04-02,0,0,0,1,1,0,27,15,3,48,2023,2023-04
2023-04-09,0,0,0,1,1,0,27,15,3,48,2023,2023-04
2023-04-16,0,0,0,1,1,0,26,16,2,47,2023,2023-04
2023-04-23,0,0,0,1,1,0,24,15,2,52,2023,2023-04
2023-04-30,0,0,0,1,0,0,25,15,2,52,2023,2023-04
2023-05-07,0,0,1,1,1,0,25,16,2,53,2023,2023-05
2023-05-14,0,0,2,1,1,0,23,15,2,48,2023,2023-05
2023-05-21,0,0,1,1,0,0,22,15,2,46,2023,2023-05
2023-05-28,0,0,1,1,1,0,21,14,2,43,2023,2023-05
2023-06-04,0,0,1,1,1,0,20,15,2,42,2023,2023-06
2023-06-11,0,0,1,1,1,0,21,15,2,37,2023,2023-06
2023-06-18,16,0,1,1,1,0,19,14,1,37,2023,2023-06
2023-06-25,17,0,1,1,1,0,20,14,1,37,2023,2023-06
2023-07-02,17,0,1,1,1,0,20,14,1,35,2023,2023-07
2023-07-09,18,0,2,1,1,0,19,15,1,38,2023,2023-07
2023-07-16,15,0,2,1,1,0,19,14,1,37,2023,2023-07
2023-07-23,15,0,1,1,1,0,19,14,1,36,2023,2023-07
2023-07-30,15,0,1,1,1,0,19,14,1,35,2023,2023-07
2023-08-06,15,0,1,0,1,0,18,15,1,37,2023,2023-08
2023-08-13,16,0,1,0,1,0,17,15,1,37,2023,2023-08
2023-08-20,17,0,1,0,1,0,17,16,1,41,2023,2023-08
2023-08-27,19,0,1,0,1,0,16,16,1,45,2023,2023-08
2023-09-03,18,0,1,0,1,0,15,16,1,50,2023,2023-09
2023-09-10,20,0,1,0,1,0,14,17,1,54,2023,2023-09
2023-09-17,21,0,2,0,1,0,15,17,1,52,2023,2023-09
2023-09-24,21,0,2,0,1,0,16,17,1,51,2023,2023-09
2023-10-01,22,0,2,0,1,0,15,17,1,51,2023,2023-10
2023-10-08,21,0,2,0,1,0,15,16,1,48,2023,2023-10
2023-10-15,23,0,2,0,1,0,15,16,1,48,2023,2023-10
2023-10-22,23,0,2,0,1,0,14,16,1,48,2023,2023-10
2023-10-29,22,0,2,0,1,0,14,15,1,49,2023,2023-10
2023-11-05,26,0,2,0,1,0,13,16,1,45,2023,2023-11
2023-11-12,24,0,2,0,1,0,13,16,1,46,2023,2023-11
2023-11-19,24,0,2,0,1,0,14,16,1,37,2023,2023-11
2023-11-26,25,0,3,0,1,0,15,16,1,50,2023,2023-11
2023-12-03,25,0,3,0,1,0,16,16,1,51,2023,2023-12
2023-12-10,25,0,3,0,1,0,14,15,1,47,2023,2023-12
2023-12-17,20,0,2,0,1,0,14,14,1,35,2023,2023-12
2023-12-24,14,0,2,0,1,0,14,12,1,22,2023,2023-12
2023-12-31,16,0,2,0,1,0,14,13,1,31,2023,2023-12
2024-01-07,21,0,2,0,1,0,14,17,1,42,2024,2024-01
2024-01-14,21,0,2,0,1,0,13,16,1,44,2024,2024-01
2024-01-21,22,0,2,0,1,3,14,17,1,48,2024,2024-01
2024-01-28,22,0,2,0,1,22,14,18,1,53,2024,2024-01
2024-02-04,24,0,2,0,1,18,13,19,1,54,2024,2024-02
2024-02-11,24,0,3,0,1,4,14,18,1,48,2024,2024-02
2024-02-18,26,0,4,0,1,0,17,19,1,52,2024,2024-02
2024-02-25,27,0,4,0,1,0,16,18,1,54,2024,2024-02
2024-03-03,28,0,4,0,1,0,15,18,1,56,2024,2024-03
2024-03-10,26,0,4,0,1,0,14,18,1,52,2024,2024-03
2024-03-17,26,0,4,0,1,0,14,18,1,52,2024,2024-03
2024-03-24,24,0,3,0,1,0,14,17,1,49,2024,2024-03
2024-03-31,25,0,3,0,1,0,13,17,1,49,2024,2024-03
2024-04-07,27,0,3,0,1,0,13,16,1,49,2024,2024-04
2024-04-14,29,0,4,0,1,0,13,17,1,51,2024,2024-04
2024-04-21,29,0,4,0,1,0,13,17,1,51,2024,2024-04
2024-04-28,29,0,4,0,1,0,12,17,1,49,2024,2024-04
2024-05-05,30,0,4,0,1,0,12,16,1,49,2024,2024-05
2024-05-12,33,0,4,0,1,0,12,16,1,47,2024,2024-05
2024-05-19,33,0,4,0,1,0,12,17,1,45,2024,2024-05
2024-05-26,34,0,4,0,1,0,12,16,1,40,2024,2024-05
2024-06-02,34,0,4,0,1,0,12,16,1,39,2024,2024-06
2024-06-09,30,0,3,0,1,0,13,16,1,38,2024,2024-06
2024-06-16,28,0,3,0,1,0,12,16,1,31,2024,2024-06
2024-06-23,26,0,3,0,1,0,11,15,1,30,2024,2024-06
2024-06-30,24,0,3,0,1,0,10,14,1,28,2024,2024-06
2024-07-07,25,0,3,0,1,0,11,16,1,32,2024,2024-07
2024-07-14,25,0,3,0,1,0,11,15,1,32,2024,2024-07
2024-07-21,26,0,3,0,1,0,11,16,1,31,2024,2024-07
2024-07-28,25,0,3,0,1,1,11,15,1,32,2024,2024-07
2024-08-04,26,0,3,0,1,14,10,17,1,32,2024,2024-08
2024-08-11,28,0,3,0,1,18,11,18,1,37,2024,2024-08
2024-08-18,33,0,3,0,1,24,11,19,1,41,2024,2024-08
2024-08-25,34,0,3,0,1,24,11,27,1,44,2024,2024-08
2024-09-01,36,0,4,0,1,31,10,28,1,47,2024,2024-09
2024-09-08,41,0,4,0,1,35,10,25,1,50,2024,2024-09
2024-09-15,41,0,4,0,1,38,9,25,1,52,2024,2024-09
2024-09-22,44,0,4,0,1,27,9,25,1,50,2024,2024-09
2024-09-29,42,0,4,0,1,0,9,22,1,49,2024,2024-09
2024-10-06,45,0,4,0,1,0,9,23,1,50,2024,2024-10
2024-10-13,48,0,4,0,1,11,9,23,1,49,2024,2024-10
2024-10-20,48,0,4,0,1,47,10,23,1,48,2024,2024-10
2024-10-27,47,0,4,0,1,30,11,23,1,48,2024,2024-10
2024-11-03,50,0,4,0,1,20,10,23,1,47,2024,2024-11
2024-11-10,53,0,4,0,1,44,10,25,1,50,2024,2024-11
2024-11-17,55,0,4,0,1,47,9,26,1,50,2024,2024-11
2024-11-24,51,0,4,0,1,50,9,25,1,38,2024,2024-11
2024-12-01,52,0,4,0,1,53,9,26,1,46,2024,2024-12
2024-12-08,56,0,5,0,1,57,9,27,1,45,2024,2024-12
2024-12-15,46,0,4,0,1,24,9,26,1,40,2024,2024-12
2024-12-22,37,0,3,0,1,16,9,24,1,21,2024,2024-12
2024-12-29,34,0,3,0,1,11,10,22,1,24,2024,2024-12
2025-01-05,46,0,4,0,1,0,10,29,1,38,2025,2025-01
2025-01-12,48,0,4,0,1,0,9,29,1,43,2025,2025-01
2025-01-19,53,0,4,0,1,0,10,29,1,43,2025,2025-01
2025-01-26,52,0,4,0,1,0,11,31,1,46,2025,2025-01
2025-02-02,55,0,5,0,1,0,11,35,1,48,2025,2025-02
2025-02-09,58,0,5,0,1,0,11,35,1,45,2025,2025-02
2025-02-16,58,0,5,0,1,0,11,33,1,42,2025,2025-02
2025-02-23,59,0,5,0,2,0,11,40,1,47,2025,2025-02
2025-03-02,59,0,5,0,2,0,10,43,1,48,2025,2025-03
2025-03-09,60,0,5,0,2,0,10,43,1,45,2025,2025-03
2025-03-16,62,0,5,0,2,0,10,46,1,45,2025,2025-03
2025-03-23,64,0,5,0,2,0,11,45,1,43,2025,2025-03
2025-03-30,88,0,6,0,2,0,13,47,1,43,2025,2025-03
2025-04-06,77,0,6,0,2,0,10,44,1,41,2025,2025-04
2025-04-13,70,0,6,0,2,0,10,42,1,36,2025,2025-04
2025-04-20,72,0,6,0,1,0,10,40,1,40,2025,2025-04
2025-04-27,70,0,6,0,1,0,9,38,1,40,2025,2025-04
2025-05-04,77,0,6,0,1,0,9,50,2,40,2025,2025-05
2025-05-11,76,0,7,0,2,0,9,47,2,39,2025,2025-05
2025-05-18,81,0,7,0,2,0,9,44,2,35,2025,2025-05
2025-05-25,76,0,8,0,3,0,9,43,2,33,2025,2025-05
2025-06-01,78,0,8,0,3,0,9,46,2,33,2025,2025-06
2025-06-08,80,0,9,0,2,0,10,48,2,31,2025,2025-06
2025-06-15,78,0,8,0,2,0,10,47,2,29,2025,2025-06
2025-06-22,79,0,8,1,2,0,10,47,2,29,2025,2025-06
2025-06-29,74,0,8,0,2,0,9,45,2,28,2025,2025-06
2025-07-06,76,0,8,1,2,0,10,47,2,27,2025,2025-07
2025-07-13,80,0,8,0,2,0,10,46,2,27,2025,2025-07
2025-07-20,76,0,8,1,2,0,10,46,2,27,2025,2025-07
2025-07-27,81,0,8,0,2,0,10,45,3,26,2025,2025-07
2025-08-03,87,0,9,0,3,0,13,60,4,27,2025,2025-08
2025-08-10,84,0,9,0,3,0,18,66,6,30,2025,2025-08
2025-08-17,83,0,9,0,3,4,17,58,5,35,2025,2025-08
2025-08-24,86,0,10,0,2,72,14,54,4,38,2025,2025-08
2025-08-31,91,0,22,0,2,91,14,52,4,39,2025,2025-08
2025-09-07,91,0,46,0,2,69,13,47,4,42,2025,2025-09
2025-09-14,93,0,73,0,2,0,14,48,5,41,2025,2025-09
2025-09-21,94,0,45,0,2,0,14,50,8,42,2025,2025-09
2025-09-28,94,0,34,0,3,0,14,49,8,41,2025,2025-09
2025-10-05,96,0,28,0,2,0,13,47,6,41,2025,2025-10
2025-10-12,96,0,26,0,3,0,14,49,6,39,2025,2025-10
2025-10-19,95,0,24,0,3,0,13,47,6,42,2025,2025-10
2025-10-26,94,0,24,0,3,0,12,52,5,39,2025,2025-10
2025-11-02,95,0,24,0,3,0,12,53,5,38,2025,2025-11
2025-11-09,96,0,24,0,3,0,12,54,6,38,2025,2025-11
2025-11-16,100,0,26,0,3,1,13,53,6,37,2025,2025-11
2025-11-23,86,0,26,0,2,39,16,47,5,28,2025,2025-11
2025-11-30,84,0,27,0,3,100,17,47,6,34,2025,2025-11
2025-12-07,86,0,25,0,2,92,13,47,5,33,2025,2025-12
2025-12-14,81,0,25,0,3,84,13,51,4,29,2025,2025-12
2025-12-21,65,0,23,0,2,63,12,43,4,14,2025,2025-12
2025-12-28,61,0,22,0,2,55,12,38,4,14,2025,2025-12
