month,year,tool_name,interest_score,source
2022-01-01,2022,ChatGPT,0.0,Google Trends
2022-02-01,2022,ChatGPT,0.0,Google Trends
2022-03-01,2022,ChatGPT,0.0,Google Trends
2022-04-01,2022,ChatGPT,0.0,Google Trends
2022-05-01,2022,ChatGPT,0.0,Google Trends
2022-06-01,2022,ChatGPT,0.0,Google Trends
2022-07-01,2022,ChatGPT,0.0,Google Trends
2022-08-01,2022,ChatGPT,0.0,Google Trends
2022-09-01,2022,ChatGPT,0.0,Google Trends
2022-10-01,2022,ChatGPT,0.0,Google Trends
2022-11-01,2022,ChatGPT,0.0,Google Trends
2022-12-01,2022,ChatGPT,0.0,Google Trends
2023-01-01,2023,ChatGPT,0.0,Google Trends
2023-02-01,2023,ChatGPT,0.0,Google Trends
2023-03-01,2023,ChatGPT,0.0,Google Trends
2023-04-01,2023,ChatGPT,0.0,Google Trends
2023-05-01,2023,ChatGPT,0.0,Google Trends
2023-06-01,2023,ChatGPT,8.25,Google Trends
2023-07-01,2023,ChatGPT,16.0,Google Trends
2023-08-01,2023,ChatGPT,16.75,Google Trends
2023-09-01,2023,ChatGPT,20.0,Google Trends
2023-10-01,2023,ChatGPT,22.2,Google Trends
2023-11-01,2023,ChatGPT,24.75,Google Trends
2023-12-01,2023,ChatGPT,20.0,Google Trends
2024-01-01,2024,ChatGPT,21.5,Google Trends
2024-02-01,2024,ChatGPT,25.25,Google Trends
2024-03-01,2024,ChatGPT,25.8,Google Trends
2024-04-01,2024,ChatGPT,28.5,Google Trends
2024-05-01,2024,ChatGPT,32.5,Google Trends
2024-06-01,2024,ChatGPT,28.4,Google Trends
2024-07-01,2024,ChatGPT,25.25,Google Trends
2024-08-01,2024,ChatGPT,30.25,Google Trends
2024-09-01,2024,ChatGPT,40.8,Google Trends
2024-10-01,2024,ChatGPT,47.0,Google Trends
2024-11-01,2024,ChatGPT,52.25,Google Trends
2024-12-01,2024,ChatGPT,45.0,Google Trends
2025-01-01,2025,ChatGPT,49.75,Google Trends
2025-02-01,2025,ChatGPT,57.5,Google Trends
2025-03-01,2025,ChatGPT,66.6,Google Trends
2025-04-01,2025,ChatGPT,72.25,Google Trends
2025-05-01,2025,ChatGPT,77.5,Google Trends
2025-06-01,2025,ChatGPT,77.8,Google Trends
2025-07-01,2025,ChatGPT,78.25,Google Trends
2025-08-01,2025,ChatGPT,86.2,Google Trends
2025-09-01,2025,ChatGPT,93.0,Google Trends
2025-10-01,2025,ChatGPT,95.25,Google Trends
2025-11-01,2025,ChatGPT,92.2,Google Trends
2025-12-01,2025,ChatGPT,73.25,Google Trends
2022-01-01,2022,Github Copilot,0.0,Google Trends
2022-02-01,2022,Github Copilot,0.0,Google Trends
2022-03-01,2022,Github Copilot,0.0,Google Trends
2022-04-01,2022,Github Copilot,0.0,Google Trends
2022-05-01,2022,Github Copilot,0.0,Google Trends
2022-06-01,2022,Github Copilot,0.0,Google Trends
2022-07-01,2022,Github Copilot,0.0,Google Trends
2022-08-01,2022,Github Copilot,0.0,Google Trends
2022-09-01,2022,Github Copilot,0.0,Google Trends
2022-10-01,2022,Github Copilot,0.0,Google Trends
2022-11-01,2022,Github Copilot,0.0,Google Trends
2022-12-01,2022,Github Copilot,0.0,Google Trends
2023-01-01,2023,Github Copilot,0.0,Google Trends
2023-02-01,2023,Github Copilot,0.0,Google Trends
2023-03-01,2023,Github Copilot,0.0,Google Trends
2023-04-01,2023,Github Copilot,0.0,Google Trends
2023-05-01,2023,Github Copilot,0.0,Google Trends
2023-06-01,2023,Github Copilot,0.0,Google Trends
2023-07-01,2023,Github Copilot,0.0,Google Trends
2023-08-01,2023,Github Copilot,0.0,Google Trends
2023-09-01,2023,Github Copilot,0.0,Google Trends
2023-10-01,2023,Github Copilot,0.0,Google Trends
2023-11-01,2023,Github Copilot,0.0,Google Trends
2023-12-01,2023,Github Copilot,0.0,Google Trends
2024-01-01,2024,Github Copilot,0.0,Google Trends
2024-02-01,2024,Github Copilot,0.0,Google Trends
2024-03-01,2024,Github Copilot,0.0,Google Trends
2024-04-01,2024,Github Copilot,0.0,Google Trends
2024-05-01,2024,Github Copilot,0.0,Google Trends
2024-06-01,2024,Github Copilot,0.0,Google Trends
2024-07-01,2024,Github Copilot,0.0,Google Trends
2024-08-01,2024,Github Copilot,0.0,Google Trends
2024-09-01,2024,Github Copilot,0.0,Google Trends
2024-10-01,2024,Github Copilot,0.0,Google Trends
2024-11-01,2024,Github Copilot,0.0,Google Trends
2024-12-01,2024,Github Copilot,0.0,Google Trends
2025-01-01,2025,Github Copilot,0.0,Google Trends
2025-02-01,2025,Github Copilot,0.0,Google Trends
2025-03-01,2025,Github Copilot,0.0,Google Trends
2025-04-01,2025,Github Copilot,0.0,Google Trends
2025-05-01,2025,Github Copilot,0.0,Google Trends
2025-06-01,2025,Github Copilot,0.0,Google Trends
2025-07-01,2025,Github Copilot,0.0,Google Trends
2025-08-01,2025,Github Copilot,0.0,Google Trends
2025-09-01,2025,Github Copilot,0.0,Google Trends
2025-10-01,2025,Github Copilot,0.0,Google Trends
2025-11-01,2025,Github Copilot,0.0,Google Trends
2025-12-01,2025,Github Copilot,0.0,Google Trends
2022-01-01,2022,Gemini,0.0,Google Trends
2022-02-01,2022,Gemini,0.0,Google Trends
2022-03-01,2022,Gemini,0.0,Google Trends
2022-04-01,2022,Gemini,0.0,Google Trends
2022-05-01,2022,Gemini,0.0,Google Trends
2022-06-01,2022,Gemini,0.0,Google Trends
2022-07-01,2022,Gemini,0.0,Google Trends
2022-08-01,2022,Gemini,0.0,Google Trends
2022-09-01,2022,Gemini,0.0,Google Trends
2022-10-01,2022,Gemini,0.0,Google Trends
2022-11-01,2022,Gemini,0.0,Google Trends
2022-12-01,2022,Gemini,0.0,Google Trends
2023-01-01,2023,Gemini,0.0,Google Trends
2023-02-01,2023,Gemini,0.0,Google Trends
2023-03-01,2023,Gemini,0.25,Google Trends
2023-04-01,2023,Gemini,0.0,Google Trends
2023-05-01,2023,Gemini,1.25,Google Trends
2023-06-01,2023,Gemini,1.0,Google Trends
2023-07-01,2023,Gemini,1.4,Google Trends
2023-08-01,2023,Gemini,1.0,Google Trends
2023-09-01,2023,Gemini,1.5,Google Trends
2023-10-01,2023,Gemini,2.0,Google Trends
2023-11-01,2023,Gemini,2.25,Google Trends
2023-12-01,2023,Gemini,2.4,Google Trends
2024-01-01,2024,Gemini,2.0,Google Trends
2024-02-01,2024,Gemini,3.25,Google Trends
2024-03-01,2024,Gemini,3.6,Google Trends
2024-04-01,2024,Gemini,3.75,Google Trends
2024-05-01,2024,Gemini,4.0,Google Trends
2024-06-01,2024,Gemini,3.2,Google Trends
2024-07-01,2024,Gemini,3.0,Google Trends
2024-08-01,2024,Gemini,3.0,Google Trends
2024-09-01,2024,Gemini,4.0,Google Trends
2024-10-01,2024,Gemini,4.0,Google Trends
2024-11-01,2024,Gemini,4.0,Google Trends
2024-12-01,2024,Gemini,3.8,Google Trends
2025-01-01,2025,Gemini,4.0,Google Trends
2025-02-01,2025,Gemini,5.0,Google Trends
2025-03-01,2025,Gemini,5.2,Google Trends
2025-04-01,2025,Gemini,6.0,Google Trends
2025-05-01,2025,Gemini,7.0,Google Trends
2025-06-01,2025,Gemini,8.2,Google Trends
2025-07-01,2025,Gemini,8.0,Google Trends
2025-08-01,2025,Gemini,11.8,Google Trends
2025-09-01,2025,Gemini,49.5,Google Trends
2025-10-01,2025,Gemini,25.5,Google Trends
2025-11-01,2025,Gemini,25.4,Google Trends
2025-12-01,2025,Gemini,23.75,Google Trends
2022-01-01,2022,Midjourney,0.0,Google Trends
2022-02-01,2022,Midjourney,0.0,Google Trends
2022-03-01,2022,Midjourney,0.0,Google Trends
2022-04-01,2022,Midjourney,0.0,Google Trends
2022-05-01,2022,Midjourney,0.0,Google Trends
2022-06-01,2022,Midjourney,0.0,Google Trends
2022-07-01,2022,Midjourney,0.0,Google Trends
2022-08-01,2022,Midjourney,0.0,Google Trends
2022-09-01,2022,Midjourney,0.0,Google Trends
2022-10-01,2022,Midjourney,0.0,Google Trends
2022-11-01,2022,Midjourney,0.0,Google Trends
2022-12-01,2022,Midjourney,0.0,Google Trends
2023-01-01,2023,Midjourney,0.8,Google Trends
2023-02-01,2023,Midjourney,1.0,Google Trends
2023-03-01,2023,Midjourney,1.0,Google Trends
2023-04-01,2023,Midjourney,1.0,Google Trends
2023-05-01,2023,Midjourney,1.0,Google Trends
2023-06-01,2023,Midjourney,1.0,Google Trends
2023-07-01,2023,Midjourney,1.0,Google Trends
2023-08-01,2023,Midjourney,0.0,Google Trends
2023-09-01,2023,Midjourney,0.0,Google Trends
2023-10-01,2023,Midjourney,0.0,Google Trends
2023-11-01,2023,Midjourney,0.0,Google Trends
2023-12-01,2023,Midjourney,0.0,Google Trends
2024-01-01,2024,Midjourney,0.0,Google Trends
2024-02-01,2024,Midjourney,0.0,Google Trends
2024-03-01,2024,Midjourney,0.0,Google Trends
2024-04-01,2024,Midjourney,0.0,Google Trends
2024-05-01,2024,Midjourney,0.0,Google Trends
2024-06-01,2024,Midjourney,0.0,Google Trends
2024-07-01,2024,Midjourney,0.0,Google Trends
2024-08-01,2024,Midjourney,0.0,Google Trends
2024-09-01,2024,Midjourney,0.0,Google Trends
2024-10-01,2024,Midjourney,0.0,Google Trends
2024-11-01,2024,Midjourney,0.0,Google Trends
2024-12-01,2024,Midjourney,0.0,Google Trends
2025-01-01,2025,Midjourney,0.0,Google Trends
2025-02-01,2025,Midjourney,0.0,Google Trends
2025-03-01,2025,Midjourney,0.0,Google Trends
2025-04-01,2025,Midjourney,0.0,Google Trends
2025-05-01,2025,Midjourney,0.0,Google Trends
2025-06-01,2025,Midjourney,0.2,Google Trends
2025-07-01,2025,Midjourney,0.5,Google Trends
2025-08-01,2025,Midjourney,0.0,Google Trends
2025-09-01,2025,Midjourney,0.0,Google Trends
2025-10-01,2025,Midjourney,0.0,Google Trends
2025-11-01,2025,Midjourney,0.0,Google Trends
2025-12-01,2025,Midjourney,0.0,Google Trends
2022-01-01,2022,Claude,1.0,Google Trends
2022-02-01,2022,Claude,1.0,Google Trends
2022-03-01,2022,Claude,1.0,Google Trends
2022-04-01,2022,Claude,1.0,Google Trends
2022-05-01,2022,Claude,1.0,Google Trends
2022-06-01,2022,Claude,1.0,Google Trends
2022-07-01,2022,Claude,1.0,Google Trends
2022-08-01,2022,Claude,1.0,Google Trends
2022-09-01,2022,Claude,0.5,Google Trends
2022-10-01,2022,Claude,1.0,Google Trends
2022-11-01,2022,Claude,0.5,Google Trends
2022-12-01,2022,Claude,0.5,Google Trends
2023-01-01,2023,Claude,1.0,Google Trends
2023-02-01,2023,Claude,1.0,Google Trends
2023-03-01,2023,Claude,1.0,Google Trends
2023-04-01,2023,Claude,0.8,Google Trends
2023-05-01,2023,Claude,0.75,Google Trends
2023-06-01,2023,Claude,1.0,Google Trends
2023-07-01,2023,Claude,1.0,Google Trends
2023-08-01,2023,Claude,1.0,Google Trends
2023-09-01,2023,Claude,1.0,Google Trends
2023-10-01,2023,Claude,1.0,Google Trends
2023-11-01,2023,Claude,1.0,Google Trends
2023-12-01,2023,Claude,1.0,Google Trends
2024-01-01,2024,Claude,1.0,Google Trends
2024-02-01,2024,Claude,1.0,Google Trends
2024-03-01,2024,Claude,1.0,Google Trends
2024-04-01,2024,Claude,1.0,Google Trends
2024-05-01,2024,Claude,1.0,Google Trends
2024-06-01,2024,Claude,1.0,Google Trends
2024-07-01,2024,Claude,1.0,Google Trends
2024-08-01,2024,Claude,1.0,Google Trends
2024-09-01,2024,Claude,1.0,Google Trends
2024-10-01,2024,Claude,1.0,Google Trends
2024-11-01,2024,Claude,1.0,Google Trends
2024-12-01,2024,Claude,1.0,Google Trends
2025-01-01,2025,Claude,1.0,Google Trends
2025-02-01,2025,Claude,1.25,Google Trends
2025-03-01,2025,Claude,2.0,Google Trends
2025-04-01,2025,Claude,1.5,Google Trends
2025-05-01,2025,Claude,2.0,Google Trends
2025-06-01,2025,Claude,2.2,Google Trends
2025-07-01,2025,Claude,2.0,Google Trends
2025-08-01,2025,Claude,2.6,Google Trends
2025-09-01,2025,Claude,2.25,Google Trends
2025-10-01,2025,Claude,2.75,Google Trends
2025-11-01,2025,Claude,2.8,Google Trends
2025-12-01,2025,Claude,2.25,Google Trends
2022-01-01,2022,Perplexity,0.0,Google Trends
2022-02-01,2022,Perplexity,0.0,Google Trends
2022-03-01,2022,Perplexity,0.0,Google Trends
2022-04-01,2022,Perplexity,0.0,Google Trends
2022-05-01,2022,Perplexity,0.0,Google Trends
2022-06-01,2022,Perplexity,0.0,Google Trends
2022-07-01,2022,Perplexity,0.0,Google Trends
2022-08-01,2022,Perplexity,0.0,Google Trends
2022-09-01,2022,Perplexity,0.0,Google Trends
2022-10-01,2022,Perplexity,0.0,Google Trends
2022-11-01,2022,Perplexity,0.0,Google Trends
2022-12-01,2022,Perplexity,0.0,Google Trends
2023-01-01,2023,Perplexity,0.0,Google Trends
2023-02-01,2023,Perplexity,0.0,Google Trends
2023-03-01,2023,Perplexity,0.0,Google Trends
2023-04-01,2023,Perplexity,0.0,Google Trends
2023-05-01,2023,Perplexity,0.0,Google Trends
2023-06-01,2023,Perplexity,0.0,Google Trends
2023-07-01,2023,Perplexity,0.0,Google Trends
2023-08-01,2023,Perplexity,0.0,Google Trends
2023-09-01,2023,Perplexity,0.0,Google Trends
2023-10-01,2023,Perplexity,0.0,Google Trends
2023-11-01,2023,Perplexity,0.0,Google Trends
2023-12-01,2023,Perplexity,0.0,Google Trends
2024-01-01,2024,Perplexity,6.25,Google Trends
2024-02-01,2024,Perplexity,5.5,Google Trends
2024-03-01,2024,Perplexity,0.0,Google Trends
2024-04-01,2024,Perplexity,0.0,Google Trends
2024-05-01,2024,Perplexity,0.0,Google Trends
2024-06-01,2024,Perplexity,0.0,Google Trends
2024-07-01,2024,Perplexity,0.25,Google Trends
2024-08-01,2024,Perplexity,20.0,Google Trends
2024-09-01,2024,Perplexity,26.2,Google Trends
2024-10-01,2024,Perplexity,22.0,Google Trends
2024-11-01,2024,Perplexity,40.25,Google Trends
2024-12-01,2024,Perplexity,32.2,Google Trends
2025-01-01,2025,Perplexity,0.0,Google Trends
2025-02-01,2025,Perplexity,0.0,Google Trends
2025-03-01,2025,Perplexity,0.0,Google Trends
2025-04-01,2025,Perplexity,0.0,Google Trends
2025-05-01,2025,Perplexity,0.0,Google Trends
2025-06-01,2025,Perplexity,0.0,Google Trends
2025-07-01,2025,Perplexity,0.0,Google Trends
2025-08-01,2025,Perplexity,33.4,Google Trends
2025-09-01,2025,Perplexity,17.25,Google Trends
2025-10-01,2025,Perplexity,0.0,Google Trends
2025-11-01,2025,Perplexity,28.0,Google Trends
2025-12-01,2025,Perplexity,73.5,Google Trends
2022-01-01,2022,Stable Diffusion,0.0,Google Trends
2022-02-01,2022,Stable Diffusion,0.0,Google Trends
2022-03-01,2022,Stable Diffusion,0.0,Google Trends
2022-04-01,2022,Stable Diffusion,0.0,Google Trends
2022-05-01,2022,Stable Diffusion,0.0,Google Trends
2022-06-01,2022,Stable Diffusion,0.0,Google Trends
2022-07-01,2022,Stable Diffusion,0.0,Google Trends
2022-08-01,2022,Stable Diffusion,0.0,Google Trends
2022-09-01,2022,Stable Diffusion,11.25,Google Trends
2022-10-01,2022,Stable Diffusion,12.6,Google Trends
2022-11-01,2022,Stable Diffusion,10.25,Google Trends
2022-12-01,2022,Stable Diffusion,12.75,Google Trends
2023-01-01,2023,Stable Diffusion,13.6,Google Trends
2023-02-01,2023,Stable Diffusion,18.5,Google Trends
2023-03-01,2023,Stable Diffusion,23.75,Google Trends
2023-04-01,2023,Stable Diffusion,25.8,Google Trends
2023-05-01,2023,Stable Diffusion,22.75,Google Trends
2023-06-01,2023,Stable Diffusion,20.0,Google Trends
2023-07-01,2023,Stable Diffusion,19.2,Google Trends
2023-08-01,2023,Stable Diffusion,17.0,Google Trends
2023-09-01,2023,Stable Diffusion,15.0,Google Trends
2023-10-01,2023,Stable Diffusion,14.6,Google Trends
2023-11-01,2023,Stable Diffusion,13.75,Google Trends
2023-12-01,2023,Stable Diffusion,14.4,Google Trends
2024-01-01,2024,Stable Diffusion,13.75,Google Trends
2024-02-01,2024,Stable Diffusion,15.0,Google Trends
2024-03-01,2024,Stable Diffusion,14.0,Google Trends
2024-04-01,2024,Stable Diffusion,12.75,Google Trends
2024-05-01,2024,Stable Diffusion,12.0,Google Trends
2024-06-01,2024,Stable Diffusion,11.6,Google Trends
2024-07-01,2024,Stable Diffusion,11.0,Google Trends
2024-08-01,2024,Stable Diffusion,10.75,Google Trends
