Entity,Code,Year,Newly founded AI companies
China,CHN,2013,27
China,CHN,2014,43
China,CHN,2015,72
China,CHN,2016,69
China,CHN,2017,92
China,CHN,2018,205
China,CHN,2019,217
China,CHN,2020,205
China,CHN,2021,281
China,CHN,2022,178
China,CHN,2023,118
China,CHN,2024,98
China,CHN,2025,161
Europe,OWID_EUR,2013,60
Europe,OWID_EUR,2014,86
Europe,OWID_EUR,2015,97
Europe,OWID_EUR,2016,125
Europe,OWID_EUR,2017,183
Europe,OWID_EUR,2018,250
Europe,OWID_EUR,2019,242
Europe,OWID_EUR,2020,294
Europe,OWID_EUR,2021,404
Europe,OWID_EUR,2022,350
Europe,OWID_EUR,2023,413
Europe,OWID_EUR,2024,437
Europe,OWID_EUR,2025,639
United States,USA,2013,337
United States,USA,2014,352
United States,USA,2015,292
United States,USA,2016,402
United States,USA,2017,510
United States,USA,2018,516
United States,USA,2019,494
United States,USA,2020,605
United States,USA,2021,763
United States,USA,2022,666
United States,USA,2023,946
United States,USA,2024,1073
United States,USA,2025,1953
World,OWID_WRL,2013,495
World,OWID_WRL,2014,568
World,OWID_WRL,2015,572
World,OWID_WRL,2016,712
World,OWID_WRL,2017,983
World,OWID_WRL,2018,1234
World,OWID_WRL,2019,1198
World,OWID_WRL,2020,1406
World,OWID_WRL,2021,1876
World,OWID_WRL,2022,1601
World,OWID_WRL,2023,1891
World,OWID_WRL,2024,2049
World,OWID_WRL,2025,3499
