country,code,year,new_ai_companies,source
China,CHN,2013,27,Our World in Data
China,CHN,2014,43,Our World in Data
China,CHN,2015,72,Our World in Data
China,CHN,2016,69,Our World in Data
China,CHN,2017,92,Our World in Data
China,CHN,2018,205,Our World in Data
China,CHN,2019,217,Our World in Data
China,CHN,2020,205,Our World in Data
China,CHN,2021,281,Our World in Data
China,CHN,2022,178,Our World in Data
China,CHN,2023,118,Our World in Data
China,CHN,2024,98,Our World in Data
China,CHN,2025,161,Our World in Data
United States,USA,2013,337,Our World in Data
United States,USA,2014,352,Our World in Data
United States,USA,2015,292,Our World in Data
United States,USA,2016,402,Our World in Data
United States,USA,2017,510,Our World in Data
United States,USA,2018,516,Our World in Data
United States,USA,2019,494,Our World in Data
United States,USA,2020,605,Our World in Data
United States,USA,2021,763,Our World in Data
United States,USA,2022,666,Our World in Data
United States,USA,2023,946,Our World in Data
United States,USA,2024,1073,Our World in Data
United States,USA,2025,1953,Our World in Data
