Entity,Code,Year,Share of artificial intelligence jobs among all job postings
Australia,AUS,2014,0.23514293
Australia,AUS,2015,0.26475707
Australia,AUS,2016,0.29612854
Australia,AUS,2017,0.42793155
Australia,AUS,2018,0.598439
Australia,AUS,2019,0.6753557
Australia,AUS,2020,0.7135912
Australia,AUS,2021,1.0030906
Australia,AUS,2022,0.9733121
Australia,AUS,2023,0.7989642
Australia,AUS,2024,1.0585991
Australia,AUS,2025,1.7760297
Austria,AUT,2018,0.48120254
Austria,AUT,2019,0.53068185
Austria,AUT,2020,0.5108747
Austria,AUT,2021,0.47235155
Austria,AUT,2022,0.6922138
Austria,AUT,2023,0.7078427
Austria,AUT,2024,0.7692686
Austria,AUT,2025,0.84165347
Belgium,BEL,2018,0.64441305
Belgium,BEL,2019,0.6084931
Belgium,BEL,2020,0.8602126
Belgium,BEL,2021,0.8604677
Belgium,BEL,2022,0.855406
Belgium,BEL,2023,0.91526043
Belgium,BEL,2024,1.2248663
Belgium,BEL,2025,1.3567568
Canada,CAN,2014,0.34980002
Canada,CAN,2015,0.4005
Canada,CAN,2016,0.5208
Canada,CAN,2017,0.68490005
Canada,CAN,2018,0.7895
Canada,CAN,2019,0.91159993
Canada,CAN,2020,0.9586
Canada,CAN,2021,1.1837
Canada,CAN,2022,1.1328
Canada,CAN,2023,0.9675
Canada,CAN,2024,1.303
Canada,CAN,2025,3.0013
Chile,CHL,2020,0.37233862
Chile,CHL,2021,0.32695824
Chile,CHL,2022,0.38041025
Chile,CHL,2023,0.39746058
Chile,CHL,2024,0.3752349
Chile,CHL,2025,2.4124293
Croatia,HRV,2018,0.16973126
Croatia,HRV,2019,0.10531931
Croatia,HRV,2020,0.14183854
Croatia,HRV,2021,0.10705837
Croatia,HRV,2022,0.124611855
Croatia,HRV,2023,0.15522133
Croatia,HRV,2024,0.22465158
Croatia,HRV,2025,0.37966642
France,FRA,2018,0.3505631
France,FRA,2019,0.3544775
France,FRA,2020,0.4463002
France,FRA,2021,0.69235307
France,FRA,2022,0.8566496
France,FRA,2023,0.7389364
France,FRA,2024,0.7623889
France,FRA,2025,0.9880101
Germany,DEU,2018,0.53823173
Germany,DEU,2019,0.58580464
Germany,DEU,2020,0.50800794
Germany,DEU,2021,0.82475746
Germany,DEU,2022,0.9679177
Germany,DEU,2023,0.8113591
Germany,DEU,2024,0.8380593
Germany,DEU,2025,1.1298784
Hong Kong,HKG,2020,2.0287213
Hong Kong,HKG,2021,1.8338885
Hong Kong,HKG,2022,1.7299262
Hong Kong,HKG,2023,1.7173071
Hong Kong,HKG,2024,2.0070775
Hong Kong,HKG,2025,3.4755673
Italy,ITA,2014,0.043118898
Italy,ITA,2015,0.07177662
Italy,ITA,2016,0.121533476
Italy,ITA,2017,0.13540308
Italy,ITA,2018,0.29866162
Italy,ITA,2019,0.45550194
Italy,ITA,2020,0.51397014
Italy,ITA,2021,0.55000854
Italy,ITA,2022,0.6894798
Italy,ITA,2023,0.61225945
Italy,ITA,2024,0.7089902
Italy,ITA,2025,1.3286461
Luxembourg,LUX,2018,1.5398878
Luxembourg,LUX,2019,1.6915064
Luxembourg,LUX,2020,2.443262
Luxembourg,LUX,2021,2.1424086
Luxembourg,LUX,2022,1.9091222
Luxembourg,LUX,2023,1.7806337
Luxembourg,LUX,2024,2.3907356
Luxembourg,LUX,2025,3.4337115
Mexico,MEX,2020,0.33564395
Mexico,MEX,2021,0.41817525
Mexico,MEX,2022,0.6485988
Mexico,MEX,2023,0.68505526
Mexico,MEX,2024,0.54301816
Mexico,MEX,2025,1.3831784
Netherlands,NLD,2018,0.76883066
Netherlands,NLD,2019,0.74953943
Netherlands,NLD,2020,0.8527898
Netherlands,NLD,2021,1.0274134
Netherlands,NLD,2022,0.81936055
Netherlands,NLD,2023,0.8101318
Netherlands,NLD,2024,0.88843817
Netherlands,NLD,2025,1.0408113
New Zealand,NZL,2014,0.13967815
New Zealand,NZL,2015,0.16566826
New Zealand,NZL,2016,0.13729489
New Zealand,NZL,2017,0.16162631
New Zealand,NZL,2018,0.1943496
New Zealand,NZL,2019,0.18969496
New Zealand,NZL,2020,0.2458042
New Zealand,NZL,2021,0.36882412
New Zealand,NZL,2022,0.43562236
New Zealand,NZL,2023,0.43662727
New Zealand,NZL,2024,0.5457445
New Zealand,NZL,2025,0.812238
Poland,POL,2018,0.19608219
Poland,POL,2019,0.35039598
Poland,POL,2020,0.35091656
Poland,POL,2021,0.7808614
Poland,POL,2022,1.0283303
Poland,POL,2023,0.918272
Poland,POL,2024,1.7049537
Poland,POL,2025,2.9166508
Singapore,SGP,2014,0.33926564
Singapore,SGP,2015,0.49389145
Singapore,SGP,2016,0.6669914
Singapore,SGP,2017,1.3431454
Singapore,SGP,2018,2.1162353
Singapore,SGP,2019,2.9439535
Singapore,SGP,2020,4.3815193
Singapore,SGP,2021,3.2930474
Singapore,SGP,2022,2.997524
Singapore,SGP,2023,2.3137205
Singapore,SGP,2024,2.8287144
Singapore,SGP,2025,4.688576
Spain,ESP,2018,0.9612001
Spain,ESP,2019,1.1394137
Spain,ESP,2020,1.2189388
Spain,ESP,2021,1.9508905
Spain,ESP,2022,2.0180895
Spain,ESP,2023,1.7508345
Spain,ESP,2024,2.161311
Spain,ESP,2025,3.3149037
Sweden,SWE,2014,0.2671136
Sweden,SWE,2015,0.2009379
Sweden,SWE,2016,0.26198173
Sweden,SWE,2017,0.4142932
Sweden,SWE,2018,0.62258244
Sweden,SWE,2019,0.8806631
Sweden,SWE,2020,1.0482328
Sweden,SWE,2021,1.209983
Sweden,SWE,2022,1.1470551
Sweden,SWE,2023,1.262952
Sweden,SWE,2024,1.7386522
Sweden,SWE,2025,2.7679513
Switzerland,CHE,2018,0.8354103
Switzerland,CHE,2019,0.989974
Switzerland,CHE,2020,1.0472848
Switzerland,CHE,2021,1.1268016
Switzerland,CHE,2022,0.95275545
Switzerland,CHE,2023,0.7470552
Switzerland,CHE,2024,1.0252402
Switzerland,CHE,2025,1.5940037
United Arab Emirates,ARE,2020,0.7904223
United Arab Emirates,ARE,2021,0.85614026
United Arab Emirates,ARE,2022,1.4115463
United Arab Emirates,ARE,2023,1.2904267
United Arab Emirates,ARE,2024,1.7058071
United Arab Emirates,ARE,2025,2.8717885
United Kingdom,GBR,2014,0.3813
United Kingdom,GBR,2015,0.43600002
United Kingdom,GBR,2016,0.4902
United Kingdom,GBR,2017,0.6583
United Kingdom,GBR,2018,0.7428
United Kingdom,GBR,2019,0.8606
United Kingdom,GBR,2020,1.0545001
United Kingdom,GBR,2021,1.0878
United Kingdom,GBR,2022,1.1659
United Kingdom,GBR,2023,0.7905
United Kingdom,GBR,2024,1.052
United Kingdom,GBR,2025,1.928
United States,USA,2014,0.5615
United States,USA,2015,0.644
United States,USA,2016,0.6716
United States,USA,2017,0.8758
United States,USA,2018,1.1462001
United States,USA,2019,1.2778
United States,USA,2020,1.1605
United States,USA,2021,1.3055999
United States,USA,2022,1.4890001
United States,USA,2023,1.2642
United States,USA,2024,1.6524
United States,USA,2025,2.5554
